pitcher_id,pitcher_trackman_id,exact_game_count,second_tm_id,second_exact_games,margin,ratio,n_candidates
22735,61895,340,65062.0,8,332,42.5,254
22547,76650,338,61895.0,7,331,48.285714285714285,212
22741,65060,337,67391.0,10,327,33.7,223
22738,63543,336,65060.0,9,327,37.333333333333336,263
21690,75867,322,69159.0,8,314,40.25,214
23637,69159,315,50705.0,9,306,35.0,230
22743,65062,305,62528.0,13,292,23.46153846153846,199
21789,76430,298,75421.0,7,291,42.57142857142857,218
22397,62360,289,63543.0,6,283,48.166666666666664,195
22782,65769,285,72523.0,10,275,28.5,198
22293,61643,285,62528.0,7,278,40.714285714285715,212
22617,63959,285,68092.0,6,279,47.5,205
21402,73117,285,63543.0,9,276,31.666666666666668,220
22254,60146,273,76430.0,7,266,39.0,196
22419,62528,270,65062.0,12,258,22.5,191
22729,65048,256,65949.0,7,249,36.57142857142857,170
23225,67119,254,61895.0,7,247,36.285714285714285,167
22592,76118,251,62528.0,7,244,35.857142857142854,186
21372,72523,251,65769.0,10,241,25.1,191
23238,67266,243,61268.0,5,238,48.6,176
23848,75421,242,77211.0,10,232,24.2,181
23590,68900,241,65060.0,5,236,48.2,177
22094,79140,240,63543.0,6,234,40.0,173
23414,67703,232,78352.0,6,226,38.666666666666664,188
22028,78352,230,63543.0,8,222,28.75,184
23288,67391,228,65060.0,8,220,28.5,210
23235,67246,226,67391.0,6,220,37.666666666666664,137
21940,77211,221,65707.0,11,210,20.09090909090909,142
22368,62146,215,75867.0,9,206,23.88888888888889,154
23439,61268,210,67266.0,5,205,42.0,149
22996,74857,210,65060.0,5,205,42.0,175
22231,60768,209,75867.0,6,203,34.833333333333336,132
23363,67421,208,65060.0,6,202,34.666666666666664,157
21441,73211,207,67391.0,4,203,51.75,122
23043,65949,205,65048.0,6,199,34.166666666666664,168
22278,61145,204,63543.0,4,200,51.0,128
22389,62363,200,60140.0,4,196,50.0,89
22302,60337,198,63543.0,6,192,33.0,189
23634,69134,197,63959.0,6,191,32.833333333333336,135
22710,65707,196,77211.0,8,188,24.5,142
22834,66291,195,61666.0,4,191,48.75,94
22624,63950,194,63765.0,6,188,32.333333333333336,208
23893,50556,194,50705.0,7,187,27.714285714285715,171
22525,63248,192,62528.0,6,186,32.0,147
21936,77318,189,67391.0,4,185,47.25,120
22675,64893,189,65060.0,6,183,31.5,154
21432,73801,188,62360.0,5,183,37.6,165
22575,63464,186,65060.0,5,181,37.2,122
22540,63765,184,50556.0,4,180,46.0,125
22427,62242,184,69159.0,7,177,26.285714285714285,141
22435,62869,182,52060.0,5,177,36.4,98
23935,50705,181,69159.0,9,172,20.11111111111111,164
22508,63342,178,65062.0,5,173,35.6,148
21943,77263,175,62360.0,6,169,29.166666666666668,153
22118,79847,175,65060.0,6,169,29.166666666666668,128
22717,65343,173,62146.0,5,168,34.6,142
24252,52060,171,65707.0,7,164,24.428571428571427,137
23561,67263,171,73801.0,2,169,85.5,47
22318,61365,166,63464.0,4,162,41.5,88
22598,62951,162,62360.0,4,158,40.5,119
23418,65109,159,63959.0,6,153,26.5,160
21994,60559,157,63342.0,4,153,39.25,135
22820,66145,157,62528.0,4,153,39.25,114
23540,68856,156,50705.0,4,152,39.0,86
23597,63961,155,65060.0,5,150,31.0,134
23312,67828,155,60768.0,4,151,38.75,143
23633,543391,154,,0,154,inf,1
23786,69041,154,67246.0,6,148,25.666666666666668,139
22772,77927,153,78536.0,3,150,51.0,111
22667,64596,153,60559.0,4,149,38.25,133
24063,51454,152,63543.0,5,147,30.4,128
23665,65665,150,65060.0,7,143,21.428571428571427,198
23630,66609,149,63543.0,6,143,24.833333333333332,220
22253,60140,149,62360.0,4,145,37.25,120
23589,68928,148,68159.0,4,144,37.0,127
22277,61101,148,63638.0,1,147,148.0,10
23306,65616,146,76650.0,4,142,36.5,110
23558,68242,144,68260.0,4,140,36.0,111
22143,79358,144,76118.0,3,141,48.0,92
22759,64021,139,,0,139,inf,1
22621,63960,138,60146.0,5,133,27.6,138
23769,69962,138,61268.0,2,136,69.0,50
23536,64805,137,60336.0,3,134,45.666666666666664,89
23614,65643,137,69813.0,5,132,27.4,157
23719,69446,137,73117.0,1,136,137.0,4
22154,79545,136,60339.0,4,132,34.0,102
23426,65117,136,51301.0,4,132,34.0,115
22311,61457,136,76650.0,4,132,34.0,99
22890,65320,134,60336.0,1,133,134.0,6
22163,79764,134,68043.0,3,131,44.666666666666664,44
23437,66018,132,63959.0,3,129,44.0,89
23478,68043,132,62360.0,4,128,33.0,84
23627,62611,131,65241.0,3,128,43.666666666666664,89
22205,60336,130,64893.0,4,126,32.5,141
23307,67603,130,65343.0,3,127,43.333333333333336,95
23857,50106,129,52060.0,5,124,25.8,118
21414,73738,129,63959.0,3,126,43.0,100
23459,68585,129,67419.0,3,126,43.0,114
21875,76329,126,63959.0,4,122,31.5,80
22922,64047,125,64596.0,5,120,25.0,116
23501,68639,125,73801.0,4,121,31.25,118
23440,68341,124,65643.0,3,121,41.333333333333336,60
23745,518852,124,,0,124,inf,1
22908,65516,124,50705.0,1,123,124.0,6
23047,64995,123,60140.0,4,119,30.75,100
23903,50859,122,68403.0,2,120,61.0,26
23979,50360,122,64350.0,3,119,40.666666666666664,98
23593,68902,120,61895.0,2,118,60.0,13
22668,64565,120,63512.0,2,118,60.0,63
23929,50662,120,75421.0,15,105,8.0,179
24224,52204,119,77263.0,6,113,19.833333333333332,96
23231,67116,119,52060.0,3,116,39.666666666666664,109
22469,63145,118,63543.0,3,115,39.333333333333336,65
23782,571035,117,,0,117,inf,1
22249,60263,117,65769.0,1,116,117.0,4
22491,75340,116,63959.0,3,113,38.666666666666664,80
22651,64350,115,65707.0,3,112,38.333333333333336,91
23672,69539,115,76329.0,4,111,28.75,39
23767,69940,114,,0,114,inf,1
23515,68403,114,65060.0,5,109,22.8,125
24089,51301,112,65117.0,4,108,28.0,137
24056,51895,111,61895.0,3,108,37.0,101
22905,63512,110,73801.0,4,106,27.5,109
23112,64768,109,65241.0,3,106,36.333333333333336,55
23512,65496,109,63959.0,3,106,36.333333333333336,117
21955,77829,109,,0,109,inf,1
21916,77446,108,,0,108,inf,1
22899,64580,108,61411.0,4,104,27.0,123
22730,65056,108,51301.0,1,107,108.0,17
23190,63492,107,65060.0,4,103,26.75,122
23289,64051,107,64995.0,3,104,35.666666666666664,113
24038,51516,105,50556.0,2,103,52.5,64
23880,571527,105,,0,105,inf,1
22840,65241,103,65496.0,4,99,25.75,102
22761,65639,102,63959.0,2,100,51.0,70
24100,51264,102,63543.0,2,100,51.0,32
23853,50157,102,51895.0,2,100,51.0,18
22201,60339,100,79545.0,3,97,33.333333333333336,84
22292,61666,100,52206.0,4,96,25.0,86
22312,61411,100,62528.0,4,96,25.0,96
22192,60841,100,50106.0,1,99,100.0,6
21558,74359,99,73117.0,4,95,24.75,106
23347,67539,98,67956.0,2,96,49.0,23
24444,53892,97,65109.0,3,94,32.333333333333336,76
23518,68419,96,50203.0,1,95,96.0,6
22404,62655,96,65060.0,5,91,19.2,87
23632,63638,96,62242.0,5,91,19.2,144
22708,65764,95,51895.0,1,94,95.0,6
24136,51713,95,64580.0,4,91,23.75,104
23759,69813,95,65643.0,4,91,23.75,68
21991,78517,94,62951.0,2,92,47.0,91
22720,64001,92,,0,92,inf,1
23781,593417,92,,0,92,inf,1
22721,64017,91,60337.0,3,88,30.333333333333332,71
22380,62754,91,67246.0,3,88,30.333333333333332,69
23092,63894,90,76650.0,3,87,30.0,103
23484,68092,90,63959.0,4,86,22.5,75
23555,68220,90,,0,90,inf,1
21998,78148,90,61329.0,1,89,90.0,19
22583,78536,89,60768.0,3,86,29.666666666666668,78
21622,74513,89,64893.0,3,86,29.666666666666668,61
23784,534648,88,63512.0,3,85,29.333333333333332,61
21813,76225,88,76430.0,3,85,29.333333333333332,48
23642,69108,86,54350.0,2,84,43.0,45
23631,63991,86,67703.0,2,84,43.0,37
23987,628333,85,62611.0,1,84,85.0,2
23424,68159,85,68928.0,4,81,21.25,91
24344,53139,84,76430.0,3,81,28.0,99
21840,76757,83,64995.0,3,80,27.666666666666668,63
23897,573185,83,,0,83,inf,1
21654,75342,82,75867.0,5,77,16.4,88
23787,69054,82,52060.0,3,79,27.333333333333332,76
23988,50030,81,53892.0,1,80,81.0,6
23369,67419,81,67119.0,4,77,20.25,79
24055,51897,81,68109.0,4,77,20.25,74
24129,51715,80,68639.0,2,78,40.0,40
24234,52206,79,75867.0,5,74,15.8,83
23542,68896,78,62360.0,3,75,26.0,59
